;id;pesid;data_inversa;dia_semana;horario;uf;br;km;municipio;causa_principal;causa_acidente;ordem_tipo_acidente;tipo_acidente;classificacao_acidente;fase_dia;sentido_via;condicao_metereologica;tipo_pista;tracado_via;uso_solo;id_veiculo;tipo_veiculo;marca;ano_fabricacao_veiculo;tipo_envolvido;estado_fisico;idade;sexo;ilesos;feridos_leves;feridos_graves;mortos;latitude;longitude
259;100098.0;216657.0;2018-01-01;segunda-feira;16:00:00;ES;101.0;204;JOAO NEIVA                                                  ;Não                 ;Não guardar distância de segurança                                                                  ;1;Colisão traseira                                                                                                                                                                                        ;Com Vítimas Feridas;Pleno dia           ;Decrescente         ;Nublado             ;Simples             ;Reta                          ;Sim       ;177876;Automóvel           ;VW                                                ;2001.0;Condutor            ;Ileso               ;44.0;Masculino           ;1;0;0;0;-19.74757427;-40.37750512
260;100098.0;216656.0;2018-01-01;segunda-feira;16:00:00;ES;101.0;204;JOAO NEIVA                                                  ;Não                 ;Não guardar distância de segurança                                                                  ;1;Colisão traseira                                                                                                                                                                                        ;Com Vítimas Feridas;Pleno dia           ;Decrescente         ;Nublado             ;Simples             ;Reta                          ;Sim       ;177875;Caminhonete         ;GM                                                ;2004.0;Condutor            ;Ileso               ;27.0;Masculino           ;1;0;0;0;-19.74757427;-40.37750512
261;100098.0;216654.0;2018-01-01;segunda-feira;16:00:00;ES;101.0;204;JOAO NEIVA                                                  ;Não                 ;Não guardar distância de segurança                                                                  ;1;Colisão traseira                                                                                                                                                                                        ;Com Vítimas Feridas;Pleno dia           ;Decrescente         ;Nublado             ;Simples             ;Reta                          ;Sim       ;177871;Motocicleta         ;HONDA                                             ;2014.0;Condutor            ;Lesões Leves        ;42.0;Masculino           ;0;1;0;0;-19.74757427;-40.37750512
262;100098.0;216653.0;2018-01-01;segunda-feira;16:00:00;ES;101.0;204;JOAO NEIVA                                                  ;Não                 ;Não guardar distância de segurança                                                                  ;1;Colisão traseira                                                                                                                                                                                        ;Com Vítimas Feridas;Pleno dia           ;Decrescente         ;Nublado             ;Simples             ;Reta                          ;Sim       ;177869;Automóvel           ;PEUGEOT                                           ;2002.0;Condutor            ;Ileso               ;32.0;Masculino           ;1;0;0;0;-19.74757427;-40.37750512
291;100108.0;216753.0;2018-01-01;segunda-feira;16:30:00;ES;101.0;307,5;VILA VELHA                                                  ;Sim                 ;Velocidade Incompatível                                                                             ;1;Saída de leito carroçável                                                                                                                                                                               ;Com Vítimas Feridas;Pleno dia           ;Crescente           ;Ignorado            ;Simples             ;Não Informado                 ;Não       ;177826;Automóvel           ;GM                                                ;2001.0;Condutor            ;Ileso               ;32.0;Masculino           ;1;0;0;0;-20.40288592;-40.4556486
292;100108.0;216756.0;2018-01-01;segunda-feira;16:30:00;ES;101.0;307,5;VILA VELHA                                                  ;Sim                 ;Velocidade Incompatível                                                                             ;1;Saída de leito carroçável                                                                                                                                                                               ;Com Vítimas Feridas;Pleno dia           ;Crescente           ;Ignorado            ;Simples             ;Não Informado                 ;Não       ;177826;Automóvel           ;GM                                                ;2001.0;Passageiro          ;Lesões Leves        ;6.0;Masculino           ;0;1;0;0;-20.40288592;-40.4556486
293;100108.0;216758.0;2018-01-01;segunda-feira;16:30:00;ES;101.0;307,5;VILA VELHA                                                  ;Sim                 ;Velocidade Incompatível                                                                             ;1;Saída de leito carroçável                                                                                                                                                                               ;Com Vítimas Feridas;Pleno dia           ;Crescente           ;Ignorado            ;Simples             ;Não Informado                 ;Não       ;177826;Automóvel           ;GM                                                ;2001.0;Passageiro          ;Lesões Leves        ;29.0;Feminino            ;0;1;0;0;-20.40288592;-40.4556486
294;100108.0;216754.0;2018-01-01;segunda-feira;16:30:00;ES;101.0;307,5;VILA VELHA                                                  ;Sim                 ;Velocidade Incompatível                                                                             ;1;Saída de leito carroçável                                                                                                                                                                               ;Com Vítimas Feridas;Pleno dia           ;Crescente           ;Ignorado            ;Simples             ;Não Informado                 ;Não       ;177826;Automóvel           ;GM                                                ;2001.0;Passageiro          ;Lesões Leves        ;10.0;Masculino           ;0;1;0;0;-20.40288592;-40.4556486
302;100112.0;216644.0;2018-01-01;segunda-feira;16:00:00;ES;101.0;428;ATILIO VIVACQUA                                             ;Sim                 ;Fenômenos da Natureza                                                                               ;1;Queda de ocupante de veículo                                                                                                                                                                            ;Com Vítimas Feridas;Pleno dia           ;Crescente           ;Chuva               ;Simples             ;Reta                          ;Não       ;177837;Motocicleta         ;                                                  ;;Condutor            ;Lesões Leves        ;25.0;Masculino           ;0;1;0;0;-20.91465;-41.19869
303;100112.0;216645.0;2018-01-01;segunda-feira;16:00:00;ES;101.0;428;ATILIO VIVACQUA                                             ;Sim                 ;Fenômenos da Natureza                                                                               ;1;Queda de ocupante de veículo                                                                                                                                                                            ;Com Vítimas Feridas;Pleno dia           ;Crescente           ;Chuva               ;Simples             ;Reta                          ;Não       ;177837;Motocicleta         ;                                                  ;;Passageiro          ;Lesões Leves        ;17.0;Feminino            ;0;1;0;0;-20.91465;-41.19869
543;100210.0;219285.0;2018-01-02;terça-feira;00:38:00;ES;101.0;42;CONCEICAO DA BARRA                                          ;Sim                 ;Restrição de Visibilidade                                                                           ;1;Colisão lateral                                                                                                                                                                                         ;Com Vítimas Feridas;Plena Noite         ;Decrescente         ;Garoa/Chuvisco      ;Simples             ;Reta                          ;Não       ;177982;Automóvel           ;VW                                                ;2004.0;Passageiro          ;Lesões Leves        ;34.0;Feminino            ;0;1;0;0;-18.517017000000003;-39.913296
544;100210.0;219288.0;2018-01-02;terça-feira;00:38:00;ES;101.0;42;CONCEICAO DA BARRA                                          ;Sim                 ;Restrição de Visibilidade                                                                           ;1;Colisão lateral                                                                                                                                                                                         ;Com Vítimas Feridas;Plena Noite         ;Decrescente         ;Garoa/Chuvisco      ;Simples             ;Reta                          ;Não       ;177982;Automóvel           ;VW                                                ;2004.0;Passageiro          ;Lesões Leves        ;26.0;Feminino            ;0;1;0;0;-18.517017000000003;-39.913296
545;100210.0;219287.0;2018-01-02;terça-feira;00:38:00;ES;101.0;42;CONCEICAO DA BARRA                                          ;Sim                 ;Restrição de Visibilidade                                                                           ;1;Colisão lateral                                                                                                                                                                                         ;Com Vítimas Feridas;Plena Noite         ;Decrescente         ;Garoa/Chuvisco      ;Simples             ;Reta                          ;Não       ;177982;Automóvel           ;VW                                                ;2004.0;Passageiro          ;Lesões Leves        ;10.0;Feminino            ;0;1;0;0;-18.517017000000003;-39.913296
546;100210.0;219286.0;2018-01-02;terça-feira;00:38:00;ES;101.0;42;CONCEICAO DA BARRA                                          ;Sim                 ;Restrição de Visibilidade                                                                           ;1;Colisão lateral                                                                                                                                                                                         ;Com Vítimas Feridas;Plena Noite         ;Decrescente         ;Garoa/Chuvisco      ;Simples             ;Reta                          ;Não       ;177982;Automóvel           ;VW                                                ;2004.0;Passageiro          ;Lesões Leves        ;8.0;Masculino           ;0;1;0;0;-18.517017000000003;-39.913296
547;100210.0;219283.0;2018-01-02;terça-feira;00:38:00;ES;101.0;42;CONCEICAO DA BARRA                                          ;Sim                 ;Restrição de Visibilidade                                                                           ;1;Colisão lateral                                                                                                                                                                                         ;Com Vítimas Feridas;Plena Noite         ;Decrescente         ;Garoa/Chuvisco      ;Simples             ;Reta                          ;Não       ;177982;Automóvel           ;VW                                                ;2004.0;Passageiro          ;Lesões Leves        ;6.0;Feminino            ;0;1;0;0;-18.517017000000003;-39.913296
548;100210.0;219261.0;2018-01-02;terça-feira;00:38:00;ES;101.0;42;CONCEICAO DA BARRA                                          ;Sim                 ;Restrição de Visibilidade                                                                           ;1;Colisão lateral                                                                                                                                                                                         ;Com Vítimas Feridas;Plena Noite         ;Decrescente         ;Garoa/Chuvisco      ;Simples             ;Reta                          ;Não       ;177981;Automóvel           ;VW                                                ;2012.0;Condutor            ;Ileso               ;43.0;Masculino           ;1;0;0;0;-18.517017000000003;-39.913296
549;100210.0;219264.0;2018-01-02;terça-feira;00:38:00;ES;101.0;42;CONCEICAO DA BARRA                                          ;Sim                 ;Restrição de Visibilidade                                                                           ;1;Colisão lateral                                                                                                                                                                                         ;Com Vítimas Feridas;Plena Noite         ;Decrescente         ;Garoa/Chuvisco      ;Simples             ;Reta                          ;Não       ;177982;Automóvel           ;VW                                                ;2004.0;Condutor            ;Lesões Leves        ;44.0;Masculino           ;0;1;0;0;-18.517017000000003;-39.913296
559;100217.0;218974.0;2018-01-02;terça-feira;02:10:00;ES;101.0;245,8;SERRA                                                       ;Sim                 ;Defeito Mecânico no Veículo                                                                         ;1;Colisão lateral                                                                                                                                                                                         ;Sem Vítimas;Plena Noite         ;Crescente           ;Nublado             ;Dupla               ;Desvio Temporário             ;Sim       ;179535;Trator de rodas     ;                                                  ;;Condutor            ;Ileso               ;57.0;Masculino           ;1;0;0;0;-20.05957954;-40.37809253
560;100217.0;218973.0;2018-01-02;terça-feira;02:10:00;ES;101.0;245,8;SERRA                                                       ;Sim                 ;Defeito Mecânico no Veículo                                                                         ;1;Colisão lateral                                                                                                                                                                                         ;Sem Vítimas;Plena Noite         ;Crescente           ;Nublado             ;Dupla               ;Desvio Temporário             ;Sim       ;179534;Caminhão-trator     ;VOLVO                                             ;1999.0;Condutor            ;Ileso               ;66.0;Masculino           ;1;0;0;0;-20.05957954;-40.37809253
792;100323.0;217374.0;2018-01-02;terça-feira;11:30:00;ES;101.0;280;SERRA                                                       ;Sim                 ;Pista Escorregadia                                                                                  ;1;Capotamento                                                                                                                                                                                             ;Sem Vítimas;Pleno dia           ;Crescente           ;Céu Claro           ;Dupla               ;Curva                         ;Não       ;178241;Automóvel           ;I                                                 ;2011.0;Condutor            ;Ileso               ;29.0;Masculino           ;1;0;0;0;-20.21806629;-40.35295486
796;100325.0;217095.0;2018-01-02;terça-feira;11:30:00;ES;101.0;280;SERRA                                                       ;Sim                 ;Velocidade Incompatível                                                                             ;1;Capotamento                                                                                                                                                                                             ;Com Vítimas Feridas;Pleno dia           ;Crescente           ;Céu Claro           ;Dupla               ;Curva                         ;Não       ;178237;Automóvel           ;TOYOTA                                            ;2009.0;Testemunha          ;Não Informado       ;;Não Informado       ;0;0;0;0;-20.217502;-40.352973999999996
797;100325.0;217087.0;2018-01-02;terça-feira;11:30:00;ES;101.0;280;SERRA                                                       ;Sim                 ;Velocidade Incompatível                                                                             ;1;Capotamento                                                                                                                                                                                             ;Com Vítimas Feridas;Pleno dia           ;Crescente           ;Céu Claro           ;Dupla               ;Curva                         ;Não       ;178237;Automóvel           ;TOYOTA                                            ;2009.0;Condutor            ;Lesões Graves       ;60.0;Masculino           ;0;0;1;0;-20.217502;-40.352973999999996
987;100403.0;219831.0;2018-01-02;terça-feira;16:40:00;ES;101.0;380,9;RIO NOVO DO SUL                                             ;Sim                 ;Velocidade Incompatível                                                                             ;1;Colisão com objeto estático                                                                                                                                                                             ;Sem Vítimas;Pleno dia           ;Decrescente         ;Céu Claro           ;Simples             ;Curva                         ;Não       ;178527;Automóvel           ;FIAT                                              ;2013.0;Condutor            ;Ileso               ;50.0;Masculino           ;1;0;0;0;-20.811322699999998;-40.83845884
1038;100426.0;217358.0;2018-01-02;terça-feira;17:50:00;ES;101.0;67;SAO MATEUS                                                  ;Sim                 ;Falta de Atenção à Condução                                                                         ;1;Colisão lateral                                                                                                                                                                                         ;Com Vítimas Feridas;Pleno dia           ;Crescente           ;Nublado             ;Dupla               ;Reta                          ;Não       ;178423;Motocicleta         ;HONDA                                             ;2011.0;Condutor            ;Lesões Leves        ;31.0;Masculino           ;0;1;0;0;-18.720545;-39.865883000000004
1039;100426.0;217356.0;2018-01-02;terça-feira;17:50:00;ES;101.0;67;SAO MATEUS                                                  ;Sim                 ;Falta de Atenção à Condução                                                                         ;1;Colisão lateral                                                                                                                                                                                         ;Com Vítimas Feridas;Pleno dia           ;Crescente           ;Nublado             ;Dupla               ;Reta                          ;Não       ;178422;Automóvel           ;FIAT                                              ;2014.0;Passageiro          ;Ileso               ;14.0;Masculino           ;1;0;0;0;-18.720545;-39.865883000000004
1040;100426.0;217354.0;2018-01-02;terça-feira;17:50:00;ES;101.0;67;SAO MATEUS                                                  ;Sim                 ;Falta de Atenção à Condução                                                                         ;1;Colisão lateral                                                                                                                                                                                         ;Com Vítimas Feridas;Pleno dia           ;Crescente           ;Nublado             ;Dupla               ;Reta                          ;Não       ;178422;Automóvel           ;FIAT                                              ;2014.0;Passageiro          ;Ileso               ;52.0;Feminino            ;1;0;0;0;-18.720545;-39.865883000000004
1041;100426.0;217351.0;2018-01-02;terça-feira;17:50:00;ES;101.0;67;SAO MATEUS                                                  ;Sim                 ;Falta de Atenção à Condução                                                                         ;1;Colisão lateral                                                                                                                                                                                         ;Com Vítimas Feridas;Pleno dia           ;Crescente           ;Nublado             ;Dupla               ;Reta                          ;Não       ;178422;Automóvel           ;FIAT                                              ;2014.0;Condutor            ;Ileso               ;59.0;Masculino           ;1;0;0;0;-18.720545;-39.865883000000004
1121;100470.0;217594.0;2018-01-02;terça-feira;22:10:00;ES;101.0;364,6;ANCHIETA                                                    ;Sim                 ;Animais na Pista                                                                                    ;2;Capotamento                                                                                                                                                                                             ;Com Vítimas Feridas;Plena Noite         ;Crescente           ;Nublado             ;Dupla               ;Reta                          ;Não       ;178538;Automóvel           ;VW                                                ;2005.0;Passageiro          ;Lesões Graves       ;34.0;Feminino            ;0;0;1;0;-20.732025399999998;-40.7469925
1122;100470.0;217592.0;2018-01-02;terça-feira;22:10:00;ES;101.0;364,6;ANCHIETA                                                    ;Sim                 ;Animais na Pista                                                                                    ;2;Capotamento                                                                                                                                                                                             ;Com Vítimas Feridas;Plena Noite         ;Crescente           ;Nublado             ;Dupla               ;Reta                          ;Não       ;178538;Automóvel           ;VW                                                ;2005.0;Condutor            ;Lesões Graves       ;34.0;Masculino           ;0;0;1;0;-20.732025399999998;-40.7469925
1144;100481.0;220235.0;2018-01-02;terça-feira;22:30:00;ES;101.0;269;SERRA                                                       ;Sim                 ;Falta de Atenção do Pedestre                                                                        ;1;Atropelamento de Pedestre                                                                                                                                                                               ;Com Vítimas Feridas;Plena Noite         ;Decrescente         ;Céu Claro           ;Dupla               ;Reta                          ;Sim       ;180271;Automóvel           ;GM                                                ;2009.0;Testemunha          ;Não Informado       ;;Não Informado       ;0;0;0;0;-20.21919388;-40.26993513
1145;100481.0;220010.0;2018-01-02;terça-feira;22:30:00;ES;101.0;269;SERRA                                                       ;Sim                 ;Falta de Atenção do Pedestre                                                                        ;1;Atropelamento de Pedestre                                                                                                                                                                               ;Com Vítimas Feridas;Plena Noite         ;Decrescente         ;Céu Claro           ;Dupla               ;Reta                          ;Sim       ;180271;Automóvel           ;GM                                                ;2009.0;Condutor            ;Ileso               ;22.0;Masculino           ;1;0;0;0;-20.21919388;-40.26993513
1146;100481.0;220229.0;2018-01-02;terça-feira;22:30:00;ES;101.0;269;SERRA                                                       ;Sim                 ;Falta de Atenção do Pedestre                                                                        ;1;Atropelamento de Pedestre                                                                                                                                                                               ;Com Vítimas Feridas;Plena Noite         ;Decrescente         ;Céu Claro           ;Dupla               ;Reta                          ;Sim       ;180271;Automóvel           ;GM                                                ;2009.0;Pedestre            ;Lesões Leves        ;16.0;Masculino           ;0;1;0;0;-20.21919388;-40.26993513
1149;100483.0;222125.0;2018-01-02;terça-feira;22:30:00;ES;101.0;295,9;CARIACICA                                                   ;Sim                 ;Falta de Atenção à Condução                                                                         ;1;Queda de ocupante de veículo                                                                                                                                                                            ;Com Vítimas Feridas;Plena Noite         ;Crescente           ;Céu Claro           ;Múltipla            ;Interseção de vias            ;Sim       ;178533;Motocicleta         ;HONDA                                             ;2007.0;Condutor            ;Lesões Graves       ;21.0;Masculino           ;0;0;1;0;-20.34260496;-40.40637106
1188;100497.0;217549.0;2018-01-03;quarta-feira;00:25:00;ES;101.0;298,2;VIANA                                                       ;Sim                 ;Animais na Pista                                                                                    ;1;Queda de ocupante de veículo                                                                                                                                                                            ;Com Vítimas Feridas;Plena Noite         ;Decrescente         ;Céu Claro           ;Dupla               ;Reta                          ;Sim       ;178558;Motocicleta         ;HONDA                                             ;2005.0;Condutor            ;Lesões Graves       ;32.0;Masculino           ;0;0;1;0;-20.35550094;-40.4174003
1528;100637.0;217969.0;2018-01-03;quarta-feira;14:10:00;ES;101.0;430;ATILIO VIVACQUA                                             ;Sim                 ;Desobediência às normas de trânsito pelo condutor                                                   ;1;Colisão traseira                                                                                                                                                                                        ;Sem Vítimas;Pleno dia           ;Decrescente         ;Céu Claro           ;Simples             ;Reta                          ;Não       ;178822;Automóvel           ;IMP                                               ;2017.0;Condutor            ;Ileso               ;43.0;Masculino           ;1;0;0;0;-20.91465;-41.19869
1529;100637.0;217971.0;2018-01-03;quarta-feira;14:10:00;ES;101.0;430;ATILIO VIVACQUA                                             ;Sim                 ;Desobediência às normas de trânsito pelo condutor                                                   ;1;Colisão traseira                                                                                                                                                                                        ;Sem Vítimas;Pleno dia           ;Decrescente         ;Céu Claro           ;Simples             ;Reta                          ;Não       ;178823;Automóvel           ;HONDA                                             ;2016.0;Condutor            ;Ileso               ;67.0;Masculino           ;1;0;0;0;-20.91465;-41.19869
1577;100661.0;218003.0;2018-01-03;quarta-feira;16:15:00;ES;101.0;145;LINHARES                                                    ;Sim                 ;Desobediência às normas de trânsito pelo condutor                                                   ;1;Colisão transversal                                                                                                                                                                                     ;Com Vítimas Feridas;Pleno dia           ;Crescente           ;Sol                 ;Dupla               ;Interseção de vias            ;Sim       ;178857;Motocicleta         ;HONDA                                             ;2010.0;Condutor            ;Lesões Leves        ;34.0;Masculino           ;0;1;0;0;-19.38236364;-40.0668624
1578;100661.0;218004.0;2018-01-03;quarta-feira;16:15:00;ES;101.0;145;LINHARES                                                    ;Sim                 ;Desobediência às normas de trânsito pelo condutor                                                   ;1;Colisão transversal                                                                                                                                                                                     ;Com Vítimas Feridas;Pleno dia           ;Crescente           ;Sol                 ;Dupla               ;Interseção de vias            ;Sim       ;178856;Automóvel           ;GM                                                ;2008.0;Condutor            ;Ileso               ;33.0;Masculino           ;1;0;0;0;-19.38236364;-40.0668624
1664;100683.0;218020.0;2018-01-03;quarta-feira;17:00:00;ES;101.0;147;LINHARES                                                    ;Sim                 ;Falta de Atenção à Condução                                                                         ;1;Colisão transversal                                                                                                                                                                                     ;Sem Vítimas;Pleno dia           ;Decrescente         ;Sol                 ;Simples             ;Reta                          ;Não       ;178859;Automóvel           ;FORD                                              ;1995.0;Condutor            ;Ileso               ;38.0;Masculino           ;1;0;0;0;-19.37992957;-40.06667733
1665;100683.0;218015.0;2018-01-03;quarta-feira;17:00:00;ES;101.0;147;LINHARES                                                    ;Sim                 ;Falta de Atenção à Condução                                                                         ;1;Colisão transversal                                                                                                                                                                                     ;Sem Vítimas;Pleno dia           ;Decrescente         ;Sol                 ;Simples             ;Reta                          ;Não       ;178858;Automóvel           ;GM                                                ;2009.0;Condutor            ;Ileso               ;33.0;Masculino           ;1;0;0;0;-19.37992957;-40.06667733
1737;100723.0;218228.0;2018-01-03;quarta-feira;20:10:00;ES;101.0;258,6;SERRA                                                       ;Sim                 ;Defeito na Via                                                                                      ;1;Capotamento                                                                                                                                                                                             ;Sem Vítimas;Plena Noite         ;Crescente           ;Chuva               ;Dupla               ;Não Informado                 ;Sim       ;178982;Automóvel           ;I                                                 ;2011.0;Condutor            ;Ileso               ;42.0;Feminino            ;1;0;0;0;-20.13507067;-40.29252738
1738;100723.0;218230.0;2018-01-03;quarta-feira;20:10:00;ES;101.0;258,6;SERRA                                                       ;Sim                 ;Defeito na Via                                                                                      ;1;Capotamento                                                                                                                                                                                             ;Sem Vítimas;Plena Noite         ;Crescente           ;Chuva               ;Dupla               ;Não Informado                 ;Sim       ;178981;Caminhão            ;M.BENZ                                            ;1984.0;Condutor            ;Ileso               ;33.0;Masculino           ;1;0;0;0;-20.13507067;-40.29252738
1739;100723.0;218224.0;2018-01-03;quarta-feira;20:10:00;ES;101.0;258,6;SERRA                                                       ;Sim                 ;Defeito na Via                                                                                      ;1;Capotamento                                                                                                                                                                                             ;Sem Vítimas;Plena Noite         ;Crescente           ;Chuva               ;Dupla               ;Não Informado                 ;Sim       ;178980;Automóvel           ;CITROEN                                           ;2011.0;Condutor            ;Ileso               ;41.0;Masculino           ;1;0;0;0;-20.13507067;-40.29252738
1740;100723.0;218222.0;2018-01-03;quarta-feira;20:10:00;ES;101.0;258,6;SERRA                                                       ;Sim                 ;Defeito na Via                                                                                      ;1;Capotamento                                                                                                                                                                                             ;Sem Vítimas;Plena Noite         ;Crescente           ;Chuva               ;Dupla               ;Não Informado                 ;Sim       ;178979;Caminhonete         ;I                                                 ;2013.0;Condutor            ;Ileso               ;57.0;Masculino           ;1;0;0;0;-20.13507067;-40.29252738
1804;100767.0;220451.0;2018-01-03;quarta-feira;23:45:00;ES;101.0;110;SOORETAMA                                                   ;Sim                 ;Ultrapassagem Indevida                                                                              ;1;Capotamento                                                                                                                                                                                             ;Com Vítimas Feridas;Plena Noite         ;Crescente           ;Nublado             ;Simples             ;Reta                          ;Não       ;179006;Automóvel           ;TOYOTA                                            ;2017.0;Passageiro          ;Lesões Leves        ;21.0;Masculino           ;0;1;0;0;-19.15455334;-40.08023858
1805;100767.0;220444.0;2018-01-03;quarta-feira;23:45:00;ES;101.0;110;SOORETAMA                                                   ;Sim                 ;Ultrapassagem Indevida                                                                              ;1;Capotamento                                                                                                                                                                                             ;Com Vítimas Feridas;Plena Noite         ;Crescente           ;Nublado             ;Simples             ;Reta                          ;Não       ;179006;Automóvel           ;TOYOTA                                            ;2017.0;Condutor            ;Lesões Leves        ;49.0;Masculino           ;0;1;0;0;-19.15455334;-40.08023858
1806;100767.0;220446.0;2018-01-03;quarta-feira;23:45:00;ES;101.0;110;SOORETAMA                                                   ;Sim                 ;Ultrapassagem Indevida                                                                              ;1;Capotamento                                                                                                                                                                                             ;Com Vítimas Feridas;Plena Noite         ;Crescente           ;Nublado             ;Simples             ;Reta                          ;Não       ;179006;Automóvel           ;TOYOTA                                            ;2017.0;Passageiro          ;Lesões Leves        ;40.0;Masculino           ;0;1;0;0;-19.15455334;-40.08023858
1933;100827.0;225526.0;2018-01-04;quinta-feira;10:00:00;ES;101.0;264;SERRA                                                       ;Sim                 ;Não guardar distância de segurança                                                                  ;1;Colisão traseira                                                                                                                                                                                        ;Com Vítimas Feridas;Pleno dia           ;Decrescente         ;Céu Claro           ;Dupla               ;Reta                          ;Sim       ;184454;Motocicleta         ;                                                  ;;Condutor            ;Ileso               ;;Masculino           ;1;0;0;0;-20.17424519;-40.26643753
1934;100827.0;225523.0;2018-01-04;quinta-feira;10:00:00;ES;101.0;264;SERRA                                                       ;Sim                 ;Não guardar distância de segurança                                                                  ;1;Colisão traseira                                                                                                                                                                                        ;Com Vítimas Feridas;Pleno dia           ;Decrescente         ;Céu Claro           ;Dupla               ;Reta                          ;Sim       ;184454;Motocicleta         ;                                                  ;;Passageiro          ;Lesões Leves        ;30.0;Feminino            ;0;1;0;0;-20.17424519;-40.26643753
2041;100880.0;218526.0;2018-01-04;quinta-feira;12:00:00;ES;101.0;285;CARIACICA                                                   ;Sim                 ;Desobediência às normas de trânsito pelo condutor                                                   ;1;Colisão frontal                                                                                                                                                                                         ;Com Vítimas Feridas;Pleno dia           ;Crescente           ;Nublado             ;Múltipla            ;Reta                          ;Sim       ;179223;Motocicleta         ;                                                  ;;Condutor            ;Não Informado       ;;Não Informado       ;0;0;0;0;-20.26437;-40.420345000000005
2042;100880.0;218525.0;2018-01-04;quinta-feira;12:00:00;ES;101.0;285;CARIACICA                                                   ;Sim                 ;Desobediência às normas de trânsito pelo condutor                                                   ;1;Colisão frontal                                                                                                                                                                                         ;Com Vítimas Feridas;Pleno dia           ;Crescente           ;Nublado             ;Múltipla            ;Reta                          ;Sim       ;179221;Motocicleta         ;HONDA                                             ;2004.0;Condutor            ;Lesões Leves        ;36.0;Masculino           ;0;1;0;0;-20.26437;-40.420345000000005
2135;100927.0;218680.0;2018-01-04;quinta-feira;15:55:00;ES;101.0;321,3;GUARAPARI                                                   ;Sim                 ;Falta de Atenção à Condução                                                                         ;1;Colisão transversal                                                                                                                                                                                     ;Com Vítimas Feridas;Pleno dia           ;Decrescente         ;Nublado             ;Simples             ;Reta                          ;Não       ;179303;Caminhonete         ;I                                                 ;2001.0;Condutor            ;Ileso               ;23.0;Feminino            ;1;0;0;0;-20.52382416;-40.47922254
2136;100927.0;218679.0;2018-01-04;quinta-feira;15:55:00;ES;101.0;321,3;GUARAPARI                                                   ;Sim                 ;Falta de Atenção à Condução                                                                         ;1;Colisão transversal                                                                                                                                                                                     ;Com Vítimas Feridas;Pleno dia           ;Decrescente         ;Nublado             ;Simples             ;Reta                          ;Não       ;179302;Motocicleta         ;HONDA                                             ;2009.0;Condutor            ;Lesões Leves        ;43.0;Masculino           ;0;1;0;0;-20.52382416;-40.47922254
2147;100934.0;218686.0;2018-01-04;quinta-feira;16:54:00;ES;101.0;15;PEDRO CANARIO                                               ;Sim                 ;Falta de Atenção à Condução                                                                         ;1;Tombamento                                                                                                                                                                                              ;Com Vítimas Feridas;Pleno dia           ;Crescente           ;Céu Claro           ;Dupla               ;Curva                         ;Não       ;179319;Motocicleta         ;HONDA                                             ;2010.0;Condutor            ;Lesões Graves       ;37.0;Masculino           ;0;0;1;0;-18.28636733;-39.95044112
2265;101002.0;225918.0;2018-01-04;quinta-feira;21:21:00;ES;101.0;276;SERRA                                                       ;Sim                 ;Defeito Mecânico no Veículo                                                                         ;1;Incêndio                                                                                                                                                                                                ;Sem Vítimas;Plena Noite         ;Crescente           ;Céu Claro           ;Dupla               ;Reta                          ;Não       ;184665;Automóvel           ;I                                                 ;2010.0;Condutor            ;Ileso               ;36.0;Masculino           ;1;0;0;0;-20.20936749;-40.30729294
2352;101048.0;225953.0;2018-01-05;sexta-feira;04:40:00;ES;101.0;218;IBIRACU                                                     ;Sim                 ;Ultrapassagem Indevida                                                                              ;1;Saída de leito carroçável                                                                                                                                                                               ;Com Vítimas Feridas;Plena Noite         ;Crescente           ;Céu Claro           ;Simples             ;Reta                          ;Não       ;184693;Caminhão            ;                                                  ;;Condutor            ;Não Informado       ;;Não Informado       ;0;0;0;0;-19.85330938;-40.38254499
2353;101048.0;225534.0;2018-01-05;sexta-feira;04:40:00;ES;101.0;218;IBIRACU                                                     ;Sim                 ;Ultrapassagem Indevida                                                                              ;1;Saída de leito carroçável                                                                                                                                                                               ;Com Vítimas Feridas;Plena Noite         ;Crescente           ;Céu Claro           ;Simples             ;Reta                          ;Não       ;184459;Motocicleta         ;HONDA                                             ;2015.0;Passageiro          ;Lesões Leves        ;28.0;Masculino           ;0;1;0;0;-19.85330938;-40.38254499
