;id;pesid;data_inversa;dia_semana;horario;uf;br;km;municipio;causa_principal;causa_acidente;ordem_tipo_acidente;tipo_acidente;classificacao_acidente;fase_dia;sentido_via;condicao_metereologica;tipo_pista;tracado_via;uso_solo;id_veiculo;tipo_veiculo;marca;ano_fabricacao_veiculo;tipo_envolvido;estado_fisico;idade;sexo;ilesos;feridos_leves;feridos_graves;mortos;latitude;longitude
14420;106894.0;232436.0;2018-01-28;domingo;18:50:00;ES;101.0;311,5;VILA VELHA                                                  ;Sim                 ;Ultrapassagem Indevida                                                                              ;1;Colisão transversal                                                                                                                                                                                     ;Com Vítimas Feridas;Anoitecer           ;Decrescente         ;Céu Claro           ;Simples             ;Reta                          ;Não       ;190004;Motocicleta         ;YAMAHA                                            ;2008.0;Condutor            ;Lesões Graves       ;48.0;Masculino           ;0;0;1;0;-20.42922103;-40.4598248
14422;106896.0;232537.0;2018-01-28;domingo;19:20:00;ES;101.0;312;VILA VELHA                                                  ;Sim                 ;Falta de Atenção à Condução                                                                         ;1;Colisão transversal                                                                                                                                                                                     ;Com Vítimas Feridas;Anoitecer           ;Crescente           ;Céu Claro           ;Simples             ;Reta                          ;Não       ;189989;Automóvel           ;FIAT                                              ;2012.0;Condutor            ;Ileso               ;39.0;Masculino           ;1;0;0;0;-20.44365661;-40.46031564
14423;106896.0;232535.0;2018-01-28;domingo;19:20:00;ES;101.0;312;VILA VELHA                                                  ;Sim                 ;Falta de Atenção à Condução                                                                         ;1;Colisão transversal                                                                                                                                                                                     ;Com Vítimas Feridas;Anoitecer           ;Crescente           ;Céu Claro           ;Simples             ;Reta                          ;Não       ;189988;Motocicleta         ;HONDA                                             ;2011.0;Condutor            ;Lesões Leves        ;38.0;Masculino           ;0;1;0;0;-20.44365661;-40.46031564
14458;106913.0;245854.0;2018-01-28;domingo;21:00:00;ES;101.0;266,3;SERRA                                                       ;Sim                 ;Desobediência às normas de trânsito pelo condutor                                                   ;1;Queda de ocupante de veículo                                                                                                                                                                            ;Com Vítimas Feridas;Plena Noite         ;Crescente           ;Céu Claro           ;Múltipla            ;Reta                          ;Sim       ;190116;Motocicleta         ;YAMAHA                                            ;2012.0;Condutor            ;Lesões Leves        ;37.0;Masculino           ;0;1;0;0;-20.19413336;-40.26887298
14648;106991.0;232819.0;2018-01-29;segunda-feira;07:40:00;ES;101.0;269,9;SERRA                                                       ;Sim                 ;Não guardar distância de segurança                                                                  ;1;Colisão traseira                                                                                                                                                                                        ;Com Vítimas Feridas;Pleno dia           ;Crescente           ;Sol                 ;Dupla               ;Reta                          ;Sim       ;190324;Automóvel           ;CHEVROLET                                         ;2012.0;Condutor            ;Ileso               ;41.0;Masculino           ;1;0;0;0;-20.22462471;-40.27058747
14649;106991.0;232824.0;2018-01-29;segunda-feira;07:40:00;ES;101.0;269,9;SERRA                                                       ;Sim                 ;Não guardar distância de segurança                                                                  ;1;Colisão traseira                                                                                                                                                                                        ;Com Vítimas Feridas;Pleno dia           ;Crescente           ;Sol                 ;Dupla               ;Reta                          ;Sim       ;190325;Motoneta            ;HONDA                                             ;2008.0;Passageiro          ;Lesões Leves        ;27.0;Feminino            ;0;1;0;0;-20.22462471;-40.27058747
14650;106991.0;232823.0;2018-01-29;segunda-feira;07:40:00;ES;101.0;269,9;SERRA                                                       ;Sim                 ;Não guardar distância de segurança                                                                  ;1;Colisão traseira                                                                                                                                                                                        ;Com Vítimas Feridas;Pleno dia           ;Crescente           ;Sol                 ;Dupla               ;Reta                          ;Sim       ;190325;Motoneta            ;HONDA                                             ;2008.0;Condutor            ;Lesões Leves        ;36.0;Masculino           ;0;1;0;0;-20.22462471;-40.27058747
14658;106995.0;233894.0;2018-01-29;segunda-feira;07:20:00;ES;101.0;111,8;VENDA NOVA DO IMIGRANTE                                     ;Sim                 ;Falta de Atenção à Condução                                                                         ;1;Colisão traseira                                                                                                                                                                                        ;Com Vítimas Feridas;Pleno dia           ;Decrescente         ;Céu Claro           ;Simples             ;Curva                         ;Não       ;191226;Motocicleta         ;HONDA                                             ;2006.0;Passageiro          ;Lesões Leves        ;23.0;Masculino           ;0;1;0;0;-20.33779636;-41.19818598
14659;106995.0;233885.0;2018-01-29;segunda-feira;07:20:00;ES;101.0;111,8;VENDA NOVA DO IMIGRANTE                                     ;Sim                 ;Falta de Atenção à Condução                                                                         ;1;Colisão traseira                                                                                                                                                                                        ;Com Vítimas Feridas;Pleno dia           ;Decrescente         ;Céu Claro           ;Simples             ;Curva                         ;Não       ;191223;Automóvel           ;VW                                                ;2012.0;Condutor            ;Ileso               ;32.0;Masculino           ;1;0;0;0;-20.33779636;-41.19818598
14660;106995.0;233889.0;2018-01-29;segunda-feira;07:20:00;ES;101.0;111,8;VENDA NOVA DO IMIGRANTE                                     ;Sim                 ;Falta de Atenção à Condução                                                                         ;1;Colisão traseira                                                                                                                                                                                        ;Com Vítimas Feridas;Pleno dia           ;Decrescente         ;Céu Claro           ;Simples             ;Curva                         ;Não       ;191226;Motocicleta         ;HONDA                                             ;2006.0;Condutor            ;Lesões Leves        ;26.0;Masculino           ;0;1;0;0;-20.33779636;-41.19818598
14956;107143.0;233025.0;2018-01-29;segunda-feira;16:35:00;ES;101.0;68;SAO MATEUS                                                  ;Sim                 ;Defeito Mecânico no Veículo                                                                         ;1;Colisão com objeto estático                                                                                                                                                                             ;Sem Vítimas;Pleno dia           ;Crescente           ;Céu Claro           ;Simples             ;Desvio Temporário             ;Sim       ;190506;Caminhão            ;M.BENZ                                            ;1966.0;Condutor            ;Ileso               ;24.0;Masculino           ;1;0;0;0;-18.7167;-39.8594
14959;107146.0;233021.0;2018-01-29;segunda-feira;17:34:00;ES;101.0;294;CARIACICA                                                   ;Sim                 ;Defeito Mecânico no Veículo                                                                         ;1;Incêndio                                                                                                                                                                                                ;Sem Vítimas;Pleno dia           ;Decrescente         ;Céu Claro           ;Múltipla            ;Não Informado                 ;Sim       ;190515;Automóvel           ;FIAT                                              ;1997.0;Condutor            ;Ileso               ;;Não Informado       ;1;0;0;0;-20.32464738;-40.39537132
